,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4080151400,,,,,,,,,,,,,,,,,,,,,,,,
4080151500,,,,,,,,,,,,,,,,,,,,,,,,
4080151600,,,,,,,,,,,,,,,,,,,,,,,,
4080151900,,,,,,,,,,,,,,,,,,,,,,,,
4080152000,,,,,,,,,,,,,,,,,,,,,,,,
4080152100,,,,,,,,,,,,,,,,,,,,,,,,
4080152200,,,,,,,,,,,,,,,,,,,,,,,,
4080152300,,,,,,,,,,,,,,,,,,,,,,,,
4080152400,,,,,,,,,,,,,,,,,,,,,,,,
4080152500,,,,,,,,,,,,,,,,,,,,,,,,
4080152600,,,,,,,,,,,,,,,,,,,,,,,,
4080152700,64.0,63.0,63.0,61.0,65.0,57.0,56.0,48.0,55.0,51.0,52.0,51.0,52.0,54.0,50.0,50.0,53.0,51.0,56.0,48.0,58.0,61.0,55.0,62.0
4080152800,62.0,60.0,59.0,46.0,66.0,54.0,49.0,52.0,55.0,53.0,45.0,51.0,52.0,44.0,42.0,53.0,43.0,45.0,50.0,47.0,43.0,46.0,46.0,53.0
4080152900,,,,,,,,,,,,,,,,,,,,,,,,
4080153000,,,,,,,,,,,,,,,,,,,,,,,,
4080153100,,,,,,,,,,,,,,,,,,,,,,,,
4080153200,,,,,,,,,,,,,,,,,,,,,,,,
4080153300,,,,,,,,,,,,,,,,,,,,,,,,
4080153400,,,,,,,,,,,,,,,,,,,,,,,,
4080153500,,,,,,,,,,,,,,,,,,,,,,,,
4080153600,,,,,,,,,,,,,,,,,,,,,,,,
4080153700,,,,,,,,,,,,,,,,,,,,,,,,
4080153800,,,,,,,,,,,,,,,,,,,,,,,,
4080153900,,,,,,,,,,,,,,,,,,,,,,,,
4080154000,,,,,,,,,,,,,,,,,,,,,,,,
4080154100,,,,,,,,,,,,,,,,,,,,,,,,
4080154200,,,,,,,,,,,,,,,,,,,,,,,,
4080154300,,,,,,,,,,,,,,,,,,,,,,,,
4080154400,,,,,,,,,,,,,,,,,,,,,,,,
4080154500,,,,,,,,,,,,,,,,,,,,,,,,
4080154600,,,,,,,,,,,,,,,,,,,,,,,,
4080157300,,,,,,,,,,,,,,,,,,,,,,,,
4080157400,,,,,,,,,,,,,,,,,,,,,,,,
4080157500,47.0,54.0,52.0,52.0,53.0,51.0,53.0,55.0,52.0,44.0,48.0,49.0,52.0,51.0,51.0,51.0,46.0,49.0,46.0,49.0,37.0,50.0,48.0,41.0
4080157600,54.0,56.0,56.0,46.0,55.0,50.0,49.0,42.0,43.0,42.0,41.0,42.0,40.0,41.0,43.0,42.0,41.0,41.0,42.0,41.0,42.0,47.0,49.0,51.0
4080157700,47.0,54.0,52.0,52.0,53.0,51.0,53.0,55.0,52.0,44.0,48.0,49.0,52.0,51.0,51.0,51.0,46.0,49.0,46.0,49.0,37.0,50.0,48.0,41.0
4080157800,54.0,56.0,56.0,46.0,55.0,50.0,49.0,42.0,43.0,42.0,41.0,42.0,40.0,41.0,43.0,42.0,41.0,41.0,42.0,41.0,42.0,47.0,49.0,51.0
4080157900,47.0,54.0,52.0,52.0,53.0,51.0,53.0,55.0,52.0,44.0,48.0,49.0,52.0,51.0,51.0,51.0,46.0,49.0,46.0,49.0,37.0,50.0,48.0,41.0
4080158000,54.0,56.0,56.0,46.0,55.0,50.0,49.0,42.0,43.0,42.0,41.0,42.0,40.0,41.0,43.0,42.0,41.0,41.0,42.0,41.0,42.0,47.0,49.0,51.0
4080158100,65.0,65.0,61.0,57.0,66.0,65.0,64.0,63.0,66.0,66.0,65.0,65.0,66.0,64.0,66.0,65.0,65.0,64.0,65.0,65.0,64.0,65.0,61.0,65.0
4080158200,64.0,65.0,66.0,44.0,64.0,57.0,60.0,51.0,42.0,51.0,50.0,54.0,47.0,53.0,50.0,53.0,50.0,51.0,50.0,51.0,52.0,55.0,56.0,58.0
4080158300,65.0,64.0,58.0,53.0,66.0,62.0,54.0,62.0,66.0,60.0,62.0,57.0,59.0,56.0,59.0,60.0,61.0,48.0,60.0,60.0,63.0,61.0,58.0,62.0
4080158400,64.0,54.0,64.0,44.0,62.0,37.0,32.0,53.0,51.0,54.0,47.0,50.0,53.0,48.0,47.0,49.0,43.0,53.0,48.0,50.0,52.0,44.0,56.0,49.0
4080158500,,,,,,,,,,,,,,,,,,,,,,,,
4080158600,,,,,,,,,,,,,,,,,,,,,,,,
4080189100,,,,,,,,,,,,,,,,,,,,,,,,
4080189200,,,,,,,,,,,,,,,,,,,,,,,,
4080189300,,,32.0,,,,53.0,53.0,,,,,,,43.0,41.0,40.0,35.0,36.0,31.0,,,,
4080189400,,,,,,,,,49.0,,23.0,40.0,42.0,48.0,,33.0,25.0,27.0,,27.0,,,,
4080189500,,,,,,,,,,,,,,,,,,,,,,,,
4080189600,,,,,,,,,,,,,,,,,,,,,,,,
4070066700,,,,,,,,,,,,,,,,,,,,,,,,
4070066800,,,,,,,,,,,,,,,,,,,,,,,,
4070066900,,,,,,,,,,,,,,,,,,,,,,,,
4070067000,,,,,,,,,,,,,,,,,,,,,,,,
4070067100,,,,,,,,,,,,,,,,,,,,,,,,
4070067200,,,,,,,,,,,,,,,,,,,,,,,,
4070067300,,,,,,,,,,,,,,,,,,,,,,,,
4070067400,,,,,,,,,,,,,,,,,,,,,,,,
4070067500,,,,,,,,,,,,,,,,,,,,,,,,
4070067600,,,,,,,,,,,,,,,,,,,,,,,,
4070067700,,,,,,,,,,,,,,,,,,,,,,,,
4070067800,,,,,,,,,,,,,,,,,,,,,,,,
4070067900,,,,,,,,,,,,,,,,,,,,,,,,
4070068000,,,,,,,,,,,,,,,,,,,,,,,,
4070068100,,,,,,,,,,,,,,,,,,,,,,,,
4070068200,,,,,,,,,,,,,,,,,,,,,,,,
4070068300,,,,,,,,,,,,,,,,,,,,,,,,
4070068400,,,,,,,,,,,,,,,,,,,,,,,,
4070068500,,,,,,,,,,,,,,,,,,,,,,,,
4070068600,,,,,,,,,,,,,,,,,,,,,,,,
4070068700,,,,,,,,,,,,,,,,,,,,,,,,
4070068800,,,,,,,,,,,,,,,,,,,,,,,,
4070068900,,,,,,,,,,,,,,,,,,,,,,,,
4070069000,,,,,,,,,,,,,,,,,,,,,,,,
4070069100,,,,,,,,,,,,49.0,,41.0,,46.0,41.0,,,,41.0,40.0,,
4070069200,,,,,,,,,,51.0,53.0,51.0,47.0,,46.0,46.0,48.0,,48.0,,,,,
4070069300,,,,,,,,,,,,,,,,,,,,,,,,
4080060500,,,,,,,,,,,,,,,,,,,,,,,,
4080060600,,,,,,,,,,,,,,,,,,,,,,,,
4080137600,,,,,,,,,,,,,,,,,,,,,,,,
4080137700,,,,,,,,,,,,,,,,,,,,,,,,
4080137800,,,,,,,,,,,,,,,,,,,,,,,,
4080137900,,,,,,,,,,,,,,,,,,,,,,,,
4080138000,,,,,,,,,,,,,,,,,,,,,,,,
4080138100,,,,,,,,,,,,,,,,,,,,,,,,
4080138200,,,,,,,,,,,,,,,,,,,,,,,,
4080138300,,,,,,,,,,,,,,,,,,,,,,,,
4080138400,,,,,,,,,,,,,,,,,,,,,,,,
4080138500,,,,,,,,,,,,,,,,,,,,,,,,
4080138600,,,,,,,,,,,,,,,,,,,,,,,,
4080138700,,,,,,,,,,,,,,,,,,,,,,,,
4080138800,,,,,,,,,,,,,,,,,,,,,,,,
4080138900,,,,,,,,,,,,,,,,,,,,,,,,
4080139000,,,,,,,,,,,,,,,,,,,,,,,,
4080139100,,,,,,,,,,,,,,,,,,,,,,,,
4080139200,,,,,,,,,,,,,,,,,,,,,,,,
4080179300,,,,,,,,,,,,,,,,,,,,,,,,
4080179400,,,,,,,,,,,,,,,,,,,,,,,,
4080179500,,,,,,,,,,,,,,,,,,,,,,,,
4080179600,,,,,,,,,,,,,,,,,,,,,,,,
4080179700,,,,,,,,,,,,,,,,,,,,,,,,
4080179800,,,,,,,,,,,,,,,,,,,,,,,,
4080179900,,,,,,,,,,,,,,,,,,,,,,,,
4080180000,,,,,,,,,,,,,,,,,,,,,,,,
4080180100,,,,,,,,,,,,,,,,,,,,,,,,
4080180200,,,,,,,,,,,,,,,,,,,,,,,,
4080180300,,,,,,,,,,,,,,,,,,,,,,,,
4080180400,,,,,,,,,,,,,,,,,,,,,,,,
4080180500,,,,,,,,,,,,,,,,,,,,,,,,
4080180600,,,,,,,,,,,,,,,,,,,,,,,,
4080180700,,,,,,,,,,,,,,,,,,,,,,,,
4080180800,,,,,,,,,,,,,,,,,,,,,,,,
4080180900,,,,,,,,,,,,,,,,,,,,,,,,
4080181000,,,,,,,,,,,,,,,,,,,,,,,,
4080181100,,,,,,,,,,,,,,,,,,,,,,,,
4080181200,,,,,,,,,,,,,,,,,,,,,,,,
4080181300,,,,,,,,,,,,,,,,,,,,,,,,
4080181400,,,,,,,,,,,,,,,,,,,,,,,,
4080181500,,,,,,,,,,,,,,,,,,,,,,,,
4070069400,,,,,,,,,,,,,,,,,,,,,,,,
4070084000,,,,,,,,,,,,,,,,,,,,,,,,
4070084100,,,,,,,,,,,,,,,,,,,,,,,,
4070084200,,,,,,,,,,,,,,,,,,,,,,,,
4080189700,,,,,,,,,,,,,,,,,,,,,,,,
4080189800,,,,,,,,,,,,,,,,,,,,,,,,
4080189900,,,,,,,,,,,,,,,,,,,,,,,,
4080190000,,,,,,,,,,,,,,,,,,,,,,,,
4080190100,,,,,,,,,,,,,,,,,,,,,,,,
4080190200,,,,,,,,,,,,,,,,,,,,,,,,
4080190300,,,,,,,,,,,,,,,,,,,,,,,,
4080190400,,,,,,,,,,,,,,,,,,,,,,,,
4080190500,,,,,,,,,,,,,,,,,,,,,,,,
4080190600,,,,,,,,,,,,,,,,,,,,,,,,
4080190700,,,,,,,,,,,,,,,,,,,,,,,,
4080190800,,,,,,,,,,,,,,,,,,,,,,,,
4080190900,,,,,,,,,,,,,,,,,,,,,,,,
4080191000,,,,,,,,,,,,,,,,,,,,,,,,
4080191100,,,,,,,,,,,,,,,,,,,,,,,,
4080181600,,,,,,,,,,,,,,,,,,,,,,,,
4080181700,,,,,,,,,,,,,,,,,,,,,,,,
4080181800,,,,,,,,,,,,,,,,,,,,,,,,
4080181900,,,,,,,,,,,,,,,,,,,,,,,,
4080182000,,,,,,,,,,,,,,,,,,,,,,,,
4080182100,,,,,,,,,,,,,,,,,,,,,,,,
4080185900,,,,,,,,,,,,,,,,,,,,,,,,
4080186000,,,,,,,,,,,,,,,,,,,,,,,,
4080186100,,,,,,,,,,,,,,,,,,,,,,,,
4080186200,,,,,,,,,,,,,,,,,,,,,,,,
4080186300,,,,,,,,,,,,,,,,,,,,,,,,
4080186400,,,,,,,,,,,,,,,,,,,,,,,,
4080186500,,,,,,,,,,,,,,,,,,,,,,,,
4080186600,,,,,,,,,,,,,,,,,,,,,,,,
4080186700,,,,,,,,,,,,,,,,,,,,,,,,
4080186800,,,,,,,,,,,,,,,,,,,,,,,,
4080186900,,,,,,,,,,,,,,,,,,,,,,,,
4070084300,,,,,,,,,,,,,,,,,,,,,,,,
4070084400,,,,,,,,,,,,,,,,,,,,,,,,
4070084500,,,,,,,,,,,,,,,,,,,,,,,,
4070084600,,,,,,,,,,,,,,,,,,,,,,,,
4080187000,,,,,,,,,,,,,,,,,,,,,,,,
4080187100,,,,,,,,,,,,,,,,,,,,,,,,
4080187200,,,,,,,,,,,,,,,,,,,,,,,,
4080187300,,,,,,,,,,,,,,,,,,,,,,,,
4070084700,,,,,,,,,,,,,,,,,,,,,,,,
4070084800,,,,,,,,,,,,,,,,,,,,,,,,
4070084900,,,,,,,,,,,,,,,,,,,,,,,,
4070085000,,,,,,,,,,,,,,,,,,,,,,,,
4070085100,,,,,,,,,,,,,,,,,,,,,,,,
4070085200,,,,,,,,,,,,,,,,,,,,,,,,
4070085300,,,,,,,,,,,,,,,,,,,,,,,,
4070085400,,,,,,,,,,,,,,,,,,,,,,,,
4070085500,,,,,,,,,,,,,,,,,,,,,,,,
4070085600,,,,,,,,,,,,,,,,,,,,,,,,
4070085700,,,,,,,,,,,,,,,,,,,,,,,,
4070085800,,,,,,,,,,,,,,,,,,,,,,,,
4070085900,,,,,,,,,,,,,,,,,,,,,,,,
4070086000,,,,,,,,,,,,,,,,,,,,,,,,
4070086100,,,,,,,,,,,,,,,,,,,,,,,,
4070086200,,,,,,,,,,,,,,,,,,,,,,,,
4070086300,,,,,,,,,,,,,,,,,,,,,,,,
4070086400,,,,,,,,,,,,,,,,,,,,,,,,
4070086500,,,,,,,,,,,,,,,,,,,,,,,,
4070086600,,,,,,,,,,,,,,,,,,,,,,,,
4070086700,,,,,,,,,,,,,,,,,,,,,,,,
4070096400,,,,,,,,,,,,,,,,,,,,,,,,
4070096500,,,,,,,,,,,,,,,,,,,,,,,,
4070096600,,,,,,,,,,,,,,,,,,,,,,,,
4070096700,,,,,,,,,,,,,,,,,,,,,,,,
4070096800,,,,,,,,,,,,,,,,,,,,,,,,
4070096900,,,,,,,,,,,,,,,,,,,,,,,,
4070097000,,,,,,,,,,,,,,,,,,,,,,,,
4070097100,,,,,,,,,,,,,,,,,,,,,,,,
4070097200,,,,,,,,,,,,,,,,,,,,,,,,
4070097300,,,,,,,,,,,,,,,,,,,,,,,,
4070097400,,,,,,,,,,,,,,,,,,,,,,,,
4070097500,,,,,,,,,,,,,,,,,,,,,,,,
4070097600,,,,,,,,,,,,,,,,,,,,,,,,
4070097700,,,,,,,,,,,,,,,,,,,,,,,,
4070097800,,,,,,,,,,,,,,,,,,,,,,,,
4070097900,,,,,,,,,,,,,,,,,,,,,,,,
4070098000,,,,,,,,,,,,,,,,,,,,,,,,
4070098100,,,,,,,,,,,,,,,,,,,,,,,,
4070098200,,,,,,,,,,,,,,,,,,,,,,,,
4070098300,,,,,,,,,,,,,,,,,,,,,,,,
4070098400,,,,,,,,,,,,,,,,,,,,,,,,
4070098500,,,,,,,,,,,,,,,,,,,,,,,,
4080191200,,,,,,,,,,,,,,,,,,,,,,,,
4080191300,,,,,,,,,,,,,,,,,,,,,,,,
4070098600,79.0,73.0,79.0,80.0,75.0,69.0,74.0,75.0,71.0,69.0,71.0,72.0,68.0,66.0,66.0,70.0,68.0,69.0,70.0,72.0,71.0,74.0,71.0,70.0
4070098700,,,,,,,,,,,,,,,,,,,,,,,,
4070098800,,,,,,,,,,,,,,,,,,,,,,,,
4070098900,,,,,,,,,,,,,,,,,,,,,,,,
4080191400,,,,,,,,,,,,,,,,,,,,,,,,
4080187400,,,,,,,,,,,,,,,,,,,,,,,,
4080187500,,,,,,,,,,,,,,,,,,,,,,,,
4080187600,,,,,,,,,,,,,,,,,,,,,,,,
4080187700,,,,,,,,,,,,,,,,,,,,,,,,
4080187800,,,,,,,,,,,,,,,,,,,,,,,,
4080187900,,,,,,,,,,,,,,,,,,,,,,,,
4080188000,,,,,,,,,,,,,,,,,,,,,,,,
4080188100,,,,,,,,,,,,,,,,,,,,,,,,
4080188200,,,,,,,,,,,,,,,,,,,,,,,,
4070099000,,,,,,,,,,,,,,,,,,,,,,,,
4070099100,,,,,,,,,,,,,,,,,,,,,,,,
4070099200,,,,,,,,,,,,,,,,,,,,,,,,
4070099300,,,,,,,,,,,,,,,,,,,,,,,,
4070099400,,,,,,,,,,,,,,,,,,,,,,,,
4070099500,,,,,,,,,,,,,,,,,,,,,,,,
4070099600,,,,,,,,,,,,,,,,,,,,,,,,
4070099700,,,,,,,,,,,,,,,,,,,,,,,,
4070099800,,,,,,,,,,,,,,,,,,,,,,,,
